Run 2354: Mean_no_cut = 1.0079, Mean_PID = 1.0082, Mean_PID_Delta = 1.0099, Sigma_cut = 0.0306, Sigma_PID = 0.0302, Sigma_PID_Delta = 0.0286
Run 3413: Mean_no_cut = 0.9950, Mean_PID = 0.9958, Mean_PID_Delta = 0.9968, Sigma_cut = 0.0286, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0253
Run 3150: Mean_no_cut = 0.9982, Mean_PID = 0.9985, Mean_PID_Delta = 0.9989, Sigma_cut = 0.0280, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 2047: Mean_no_cut = 1.0004, Mean_PID = 1.0008, Mean_PID_Delta = 1.0028, Sigma_cut = 0.0323, Sigma_PID = 0.0319, Sigma_PID_Delta = 0.0304
Run 1663: Mean_no_cut = 0.9939, Mean_PID = 0.9941, Mean_PID_Delta = 0.9948, Sigma_cut = 0.0313, Sigma_PID = 0.0309, Sigma_PID_Delta = 0.0296
Run 4084: Mean_no_cut = 1.0016, Mean_PID = 1.0019, Mean_PID_Delta = 1.0020, Sigma_cut = 0.0282, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0259
Run 2044: Mean_no_cut = 1.0002, Mean_PID = 1.0007, Mean_PID_Delta = 1.0028, Sigma_cut = 0.0329, Sigma_PID = 0.0324, Sigma_PID_Delta = 0.0310
Run 6912: Mean_no_cut = 1.0021, Mean_PID = 1.0023, Mean_PID_Delta = 1.0019, Sigma_cut = 0.0280, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0255
Run 4758: Mean_no_cut = 0.9677, Mean_PID = 0.9987, Mean_PID_Delta = 0.9994, Sigma_cut = 0.0476, Sigma_PID = 0.0285, Sigma_PID_Delta = 0.0269
Run 4666: Mean_no_cut = 0.9967, Mean_PID = 0.9998, Mean_PID_Delta = 0.9992, Sigma_cut = 0.0298, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0259
Run 4638: Mean_no_cut = 0.9968, Mean_PID = 0.9995, Mean_PID_Delta = 0.9991, Sigma_cut = 0.0297, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0260
Run 1661: Mean_no_cut = 0.9940, Mean_PID = 0.9942, Mean_PID_Delta = 0.9951, Sigma_cut = 0.0319, Sigma_PID = 0.0316, Sigma_PID_Delta = 0.0303
Run 6874: Mean_no_cut = 1.0015, Mean_PID = 1.0020, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0284, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0258
Run 1706: Mean_no_cut = 0.9931, Mean_PID = 0.9957, Mean_PID_Delta = 0.9752, Sigma_cut = 0.0342, Sigma_PID = 0.0319, Sigma_PID_Delta = 0.0423
Run 4234: Mean_no_cut = 1.0002, Mean_PID = 1.0007, Mean_PID_Delta = 1.0004, Sigma_cut = 0.0284, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0260
Run 4242: Mean_no_cut = 1.0000, Mean_PID = 1.0003, Mean_PID_Delta = 0.9999, Sigma_cut = 0.0284, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0261
Run 3913: Mean_no_cut = 1.0015, Mean_PID = 1.0019, Mean_PID_Delta = 1.0020, Sigma_cut = 0.0284, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0260
Run 2804: Mean_no_cut = 0.9983, Mean_PID = 0.9985, Mean_PID_Delta = 0.9983, Sigma_cut = 0.0286, Sigma_PID = 0.0282, Sigma_PID_Delta = 0.0267
Run 6899: Mean_no_cut = 1.0009, Mean_PID = 1.0010, Mean_PID_Delta = 1.0008, Sigma_cut = 0.0279, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0259
Run 1667: Mean_no_cut = 0.9938, Mean_PID = 0.9943, Mean_PID_Delta = 0.9951, Sigma_cut = 0.0318, Sigma_PID = 0.0309, Sigma_PID_Delta = 0.0296
Run 6915: Mean_no_cut = 1.0022, Mean_PID = 1.0024, Mean_PID_Delta = 1.0019, Sigma_cut = 0.0281, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 2350: Mean_no_cut = 1.0073, Mean_PID = 1.0078, Mean_PID_Delta = 1.0092, Sigma_cut = 0.0304, Sigma_PID = 0.0297, Sigma_PID_Delta = 0.0281
Run 6875: Mean_no_cut = 1.0014, Mean_PID = 1.0019, Mean_PID_Delta = 1.0014, Sigma_cut = 0.0285, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0260
Run 6570: Mean_no_cut = 0.9984, Mean_PID = 1.0014, Mean_PID_Delta = 1.0010, Sigma_cut = 0.0293, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0254
Run 4268: Mean_no_cut = 0.9999, Mean_PID = 1.0002, Mean_PID_Delta = 0.9998, Sigma_cut = 0.0284, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0261
