Run 6928: Mean_no_cut = 1.0016, Mean_PID = 1.0018, Mean_PID_Delta = 1.0014, Sigma_cut = 0.0280, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 6816: Mean_no_cut = 1.0002, Mean_PID = 1.0027, Mean_PID_Delta = 1.0023, Sigma_cut = 0.0293, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0262
Run 5097: Mean_no_cut = 0.9985, Mean_PID = 0.9996, Mean_PID_Delta = 0.9988, Sigma_cut = 0.0293, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0262
Run 6860: Mean_no_cut = 1.0026, Mean_PID = 1.0033, Mean_PID_Delta = 1.0031, Sigma_cut = 0.0293, Sigma_PID = 0.0285, Sigma_PID_Delta = 0.0270
Run 6900: Mean_no_cut = 1.0013, Mean_PID = 1.0015, Mean_PID_Delta = 1.0014, Sigma_cut = 0.0279, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0258
Run 6600: Mean_no_cut = 0.9980, Mean_PID = 1.0011, Mean_PID_Delta = 1.0004, Sigma_cut = 0.0292, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0255
Run 6929: Mean_no_cut = 1.0017, Mean_PID = 1.0019, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0280, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 5903: Mean_no_cut = 0.9989, Mean_PID = 1.0020, Mean_PID_Delta = 1.0019, Sigma_cut = 0.0295, Sigma_PID = 0.0282, Sigma_PID_Delta = 0.0265
Run 6817: Mean_no_cut = 0.9997, Mean_PID = 1.0022, Mean_PID_Delta = 1.0017, Sigma_cut = 0.0293, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0263
Run 5975: Mean_no_cut = 0.9987, Mean_PID = 1.0017, Mean_PID_Delta = 1.0016, Sigma_cut = 0.0290, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0260
Run 6861: Mean_no_cut = 1.0029, Mean_PID = 1.0036, Mean_PID_Delta = 1.0035, Sigma_cut = 0.0292, Sigma_PID = 0.0285, Sigma_PID_Delta = 0.0269
Run 2767: Mean_no_cut = 0.9977, Mean_PID = 0.9979, Mean_PID_Delta = 0.9973, Sigma_cut = 0.0281, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0259
Run 2057: Mean_no_cut = 0.9998, Mean_PID = 1.0007, Mean_PID_Delta = 1.0026, Sigma_cut = 0.0326, Sigma_PID = 0.0316, Sigma_PID_Delta = 0.0301
Run 5600: Mean_no_cut = 1.0000, Mean_PID = 1.0027, Mean_PID_Delta = 1.0026, Sigma_cut = 0.0292, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0260
Run 6814: Mean_no_cut = 1.0001, Mean_PID = 1.0026, Mean_PID_Delta = 1.0022, Sigma_cut = 0.0289, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0256
Run 6974: Mean_no_cut = 1.0009, Mean_PID = 1.0011, Mean_PID_Delta = 1.0008, Sigma_cut = 0.0279, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0259
Run 3400: Mean_no_cut = 0.9953, Mean_PID = 0.9959, Mean_PID_Delta = 0.9968, Sigma_cut = 0.0286, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0256
Run 5255: Mean_no_cut = 0.9992, Mean_PID = 1.0002, Mean_PID_Delta = 0.9997, Sigma_cut = 0.0288, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0260
Run 3788: Mean_no_cut = 0.9983, Mean_PID = 0.9985, Mean_PID_Delta = 0.9982, Sigma_cut = 0.0279, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0260
Run 6902: Mean_no_cut = 1.0013, Mean_PID = 1.0014, Mean_PID_Delta = 1.0013, Sigma_cut = 0.0279, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0259
Run 6999: Mean_no_cut = 1.0013, Mean_PID = 1.0015, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0280, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0257
Run 6862: Mean_no_cut = 1.0024, Mean_PID = 1.0035, Mean_PID_Delta = 1.0035, Sigma_cut = 0.0295, Sigma_PID = 0.0284, Sigma_PID_Delta = 0.0269
Run 6815: Mean_no_cut = 0.9998, Mean_PID = 1.0023, Mean_PID_Delta = 1.0018, Sigma_cut = 0.0287, Sigma_PID = 0.0272, Sigma_PID_Delta = 0.0253
