day  , run , elastic_label          , Ibeam (uA), HMS mom, HMS angle, SHMS angle, calo angle, calo distance, target     , Beam pass, Collimator, prescale, event #, duration (min), Charge Accumulated, coin status, comments                                                                                                                                                                                 , source sheet     , source row
11/11, 2865, NPS elastic calibration,         40, 4.0782 ,    29.855,     31.845,     15.545, 9.5          , LH2        ,         5, L         , ps5=0   ,  259651,          82.31,             134.81,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        184
11/11, 2866, NPS elastic calibration,         40, 4.0782 ,    29.855,     31.845,     15.545, 9.5          , LH2        ,         5, L         , ps5=0   ,  198155,          60.91,             113.69,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        185
11/12, 2867, NPS elastic calibration,         40, 4.0782 ,    29.855,     31.845,     15.545, 9.5          , LH2        ,         5, L         , ps5=0   ,  223675,          66.23,             141.74,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        186
11/12, 2868, NPS elastic calibration,         40, 4.0782 ,    29.855,     30.828,     14.528, 9.5          , LH2        ,         5, L         , ps5=0   ,   42094,          14.63,              14.83,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        187
11/12, 2869, NPS elastic calibration,         40, 4.0782 ,    29.855,     30.828,     14.528, 9.5          , LH2        ,         5, L         , ps5=0   ,  112774,          37.01,              54.56,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        188
11/12, 2870, NPS elastic calibration,         40, 4.0782 ,    29.855,     30.828,     14.528, 9.5          , LH2        ,         5, L         , ps5=0   ,  108589,          32.76,              71.57,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        189
11/12, 2871, NPS elastic calibration,         40, 4.0782 ,    29.855,     30.828,     14.528, 9.5          , LH2        ,         5, L         , ps5=0   ,  207122,          62.75,             131.42,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        190
11/12, 2875, NPS elastic calibration,         40, 4.0872 ,    29.855,     32.885,     16.585, 9.5          , LH2        ,         5, L         , ps5=0   ,  192631,          58.96,             117.56,            , HMS Dipole NMR 1.12262 T                                                                                                                                                                 , 5p_commissionning,        194
11/12, 2876, NPS elastic calibration,         40, 4.0872 ,    29.855,     32.885,     16.585, 9.5          , LH2        ,         5, L         , ps5=0   ,  221123,          67.49,             139.55,            , HMS Dipole NMR 1.12262 T                                                                                                                                                                 , 5p_commissionning,        195
11/12, 2877, NPS elastic calibration,         40, 4.0872 ,    29.855,     31.855,     15.555, 9.5          , LH2        ,         5, L         , ps5=0   ,  193400,          61.37,              94.08,            , HMS Dipole NMR 1.12262 T                                                                                                                                                                 , 5p_commissionning,        196
11/12, 2878, NPS elastic calibration,         40, 4.0872 ,    29.855,     31.855,     15.555, 9.5          , LH2        ,         5, L         , ps5=0   ,  277520,          76.98,             172.52,            , HMS Dipole NMR 1.12262 T                                                                                                                                                                 , 5p_commissionning,        197
11/12, 2879, NPS elastic calibration,         40, 4.0872 ,    29.855,     30.835,     14.535, 9.5          , LH2        ,         5, L         , ps5=0   ,  221323,          65.57,             136.65,            , HMS Dipole NMR 1.12262 T                                                                                                                                                                 , 5p_commissionning,        198
11/12, 2880, NPS elastic calibration,         40, 4.0872 ,    29.855,     30.835,     14.535, 9.5          , LH2        ,         5, L         , ps5=0   ,  160544,          46.02,              98.24,            , HMS Dipole NMR 1.12262 T                                                                                                                                                                 , 5p_commissionning,        199
11/13, 2881, NPS elastic calibration,         40, 4.0872 ,    29.855,     30.835,     14.535, 9.5          , LH2        ,         5, L         , ps5=0   ,   75000,          22.78,              41.46,            , HMS Dipole NMR 1.122731 T                                                                                                                                                                , 5p_commissionning,        200
11/13, 2882, NPS elastic calibration,         40, 4.0872 ,    29.855,     31.851,     15.551, 9.5          , LH2        ,         5, L         , ps5=0   ,  232106,          70.49,             125.21,            , HMS Dipole NMR 1.12259 T                                                                                                                                                                 , 5p_commissionning,        201
11/13, 2883, NPS elastic calibration,         40, 4.0872 ,    29.855,     31.851,     15.551, 9.5          , LH2        ,         5, L         , ps5=0   ,  204153,          59.49,             126.29,            , HMS Dipole NMR 1.12259 T                                                                                                                                                                 , 5p_commissionning,        202
11/13, 2884, NPS elastic calibration,         40, 4.0872 ,    29.855,     32.877,     16.577, 9.5          , LH2        ,         5, L         , ps5=0   ,  193647,          58.94,             119.68,            , HMS Dipole NMR 1.12259 T                                                                                                                                                                 , 5p_commissionning,        203
11/13, 2885, NPS elastic calibration,         40, 4.0872 ,    29.855,     32.877,     16.577, 9.5          , LH2        ,         5, L         , ps5=0   ,  842461,          24.59,              52.33,            , HMS Dipole NMR 1.12259 T                                                                                                                                                                 , 5p_commissionning,        204
11/14, 2903, Elastic Calibration    ,         40, 4.12   ,    27.615,     38    ,     21.7  , 8            , LH2        ,         4, L         , ps3=0   ,  525993,          54.21,             114.12,            , run with ps3=0 to work around the fadc issue                                                                                                                                             , 4p_commissionning,          9
11/14, 2904, Elastic Calibration    ,         40, 4.12   ,    27.615,     38    ,     21.7  , 8            , LH2        ,         4, L         , ps3=0   ,  146004,          19.83,              41.03,            , run with ps3=0 to work around the fadc issue                                                                                                                                             , 4p_commissionning,         10
11/14, 2905, Elastic Calibration    ,         40, 4.12   ,    27.615,     38    ,     21.7  , 8            , LH2        ,         4, L         , ps3=0   ,  458583,          68.22,             127.95,            , New FADC values loaded but still in ps3 to verify                                                                                                                                        , 4p_commissionning,         11
11/14, 2906, Elastic Calibration    ,         40, 4.12   ,    27.615,     38    ,     21.7  , 8            , LH2        ,         4, L         , ps5=0   ,   53017,          58.42,             112.38,            , New FADC values loaded run in ps5                                                                                                                                                        , 4p_commissionning,         12
11/14, 2907, Elastic Calibration    ,         40, 4.12   ,    27.615,     36.138,     19.838, 8            , LH2        ,         4, L         , ps5=0   ,   58318,          59.32,             126.99,            ,                                                                                                                                                                                          , 4p_commissionning,         13
11/14, 2908, Elastic Calibration    ,         40, 4.12   ,    27.615,     36.138,     19.838, 8            , LH2        ,         4, L         , ps5=0   ,    6395,           6.07,              14.1 ,            , run ended for magnet rampdown to replace JT                                                                                                                                              , 4p_commissionning,         14
11/14, 2909, Elastic Calibration    ,         40, 4.12   ,    27.615,     36.138,     19.838, 8            , LH2        ,         4, L         , ps5=0   ,   65066,          75.91,             133.88,            ,                                                                                                                                                                                          , 4p_commissionning,         15
11/14, 2910, Elastic Calibration    ,         40, 4.12   ,    27.615,     36.138,     19.838, 8            , LH2        ,         4, L         , ps5=0   ,   66290,          71.94,             142.36,            ,                                                                                                                                                                                          , 4p_commissionning,         16
11/14, 2911, Elastic Calibration    ,         40, 4.12   ,    27.615,     37.997,     21.697, 8            , LH2        ,         4, L         , ps5=0   ,   67109,          71.93,             142.41,            ,                                                                                                                                                                                          , 4p_commissionning,         17
11/14, 2912, Elastic Calibration    ,         40, 4.12   ,    27.615,     37.997,     21.697, 8            , LH2        ,         4, L         , ps5=0   ,   62406,          64.09,             136.09,            ,                                                                                                                                                                                          , 4p_commissionning,         18
11/14, 2913, Elastic Calibration    ,         40, 4.12   ,    27.615,     37.997,     21.697, 8            , LH2        ,         4, L         , ps5=0   ,   63625,          64.97,             138.49,            ,                                                                                                                                                                                          , 4p_commissionning,         19
11/14, 2914, Elastic Calibration    ,         40, 4.12   ,    27.615,     36.141,     19.841, 8            , LH2        ,         4, L         , ps5=0   ,   61727,          62.06,             137.73,            ,                                                                                                                                                                                          , 4p_commissionning,         20
11/14, 2915, Elastic Calibration    ,         40, 4.12   ,    27.615,     36.141,     19.841, 8            , LH2        ,         4, L         , ps5=0   ,   63018,          64.74,             138.2 ,            ,                                                                                                                                                                                          , 4p_commissionning,         21
11/15, 2916, Elastic Calibration    ,         40, 4.12   ,    27.615,     36.141,     19.841, 8            , LH2        ,         4, L         , ps5=0   ,   63131,          65.89,             138.46,            ,                                                                                                                                                                                          , 4p_commissionning,         22
11/15, 2917, Elastic Calibration    ,         40, 4.12   ,    27.615,     38.002,     21.702, 8            , LH2        ,         4, L         , ps5=0   ,   62087,          65.41,             132.71,            ,                                                                                                                                                                                          , 4p_commissionning,         23
11/15, 2918, Elastic Calibration    ,         40, 4.12   ,    27.615,     38.002,     21.702, 8            , LH2        ,         4, L         , ps5=0   ,   62012,          66.08,             132.9 ,            ,                                                                                                                                                                                          , 4p_commissionning,         24
11/15, 2919, Elastic Calibration    ,         40, 4.12   ,    27.615,     38.002,     21.702, 8            , LH2        ,         4, L         , ps5=0   ,   62266,          65.07,             136.42,            ,                                                                                                                                                                                          , 4p_commissionning,         25
11/15, 2920, Elastic Calibration    ,         40, 4.12   ,    27.615,     36.143,     19.843, 8            , LH2        ,         4, L         , ps5=0   ,   61360,          67.31,             131.17,            ,                                                                                                                                                                                          , 4p_commissionning,         26
01/25, 3883, NPS elastic calibration,         40, 4.0782 ,    29.845,     32.875,     16.575, 9.5          , LH2        ,         5, L         , ps5=0   ,   61171,          62.34,             106.18,            , HMS Dipole NMR 1.1184300 T                                                                                                                                                               , 5p_commissionning,        206
01/25, 3884, NPS elastic calibration,         40, 4.0782 ,    29.845,     31.845,     15.545, 9.5          , LH2        ,         5, L         , ps5=0   ,   71191,          60.05,             119.33,            , HMS Dipole NMR 1.1184300 T                                                                                                                                                               , 5p_commissionning,        207
01/25, 3885, NPS elastic calibration,         40, 4.0782 ,    29.845,     31.055,     14.755, 9.5          , LH2        ,         5, L         , ps5=0   ,   75536,          62.46,             128.84,            , HMS Dipole NMR 1.1184300 T                                                                                                                                                               , 5p_commissionning,        208
01/25, 3886, NPS elastic calibration,         40, 4.0782 ,    29.845,     33.455,     17.155, 9.5          , LH2        ,         5, L         , ps5=0   ,   58183,          57.78,             109.15,            , HMS Dipole NMR 1.1184300 T                                                                                                                                                               , 5p_commissionning,        209
01/25, 3887, NPS elastic calibration,         40, 4.0782 ,    29.845,     32.255,     15.955, 9.5          , LH2        ,         5, L         , ps5=0   ,   63753,          59.67,             109.5 ,            , HMS Dipole NMR 1.1184300 T                                                                                                                                                               , 5p_commissionning,        210
01/25, 3888, NPS elastic calibration,         40, 4.0782 ,    29.845,     31.055,     14.755, 9.5          , LH2        ,         5, L         , ps5=0   ,   74337,          61.79,             128.09,            , HMS Dipole NMR 1.1184300 T                                                                                                                                                               , 5p_commissionning,        211
01/25, 3889, NPS elastic calibration,         40, 4.0782 ,    29.845,     33.468,     17.168, 9.5          , LH2        ,         5, L         , ps5=0   ,   63165,          65.23,             116.81,            , HMS Dipole NMR 1.1183800 T                                                                                                                                                               , 5p_commissionning,        212
01/25, 3892, NPS elastic calibration,         40, 4.0782 ,    29.845,     31.055,     14.755, 9.5          , LH2        ,         5, L         , ps5=0   ,   71685,          59.47,             121.53,            , HMS Dipole NMR 1.1183800 T                                                                                                                                                               , 5p_commissionning,        215
01/25, 3893, NPS elastic calibration,         40, 4.0782 ,    29.845,     33.469,     17.169, 9.5          , LH2        ,         5, L         , ps5=0   ,   68928,          59.17,             127.07,            , HMS Dipole NMR 1.1185200 T; New HV loaded to NPS                                                                                                                                         , 5p_commissionning,        216
